Year,Term,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,CRN,Section,Start Time,End Time,Days of Week,Room,Building
2021,Spring,AAS,100,14,9,0,2,2,0,0,0,1,1,0,1,0,0,"Boonsripaisal, Simon",30107,AD1,09:00 AM,09:50 AM,F,,
2021,Spring,AAS,100,12,8,1,2,0,2,0,1,0,0,0,0,3,0,"Boonsripaisal, Simon",30107,AD1,09:00 AM,09:50 AM,F,,
2021,Spring,AAS,100,0,13,8,1,3,0,1,0,0,0,1,0,1,0,"Guruparan, Akil",43832,AD3,10:00 AM,10:50 AM,F,,
2021,Spring,AAS,100,0,11,8,2,3,1,0,0,0,0,0,0,1,0,"Guruparan, Akil",43832,AD3,10:00 AM,10:50 AM,F,,
2021,Spring,AAS,100,1,8,5,4,1,1,0,0,1,0,0,0,2,0,"Kang, Yoonjung",48234,AD5,11:00 AM,11:50 AM,F,,
2021,Spring,AAS,100,2,4,11,4,5,0,0,0,0,0,1,0,0,0,"Kang, Yoonjung",48234,AD5,11:00 AM,11:50 AM,F,,
2021,Spring,AAS,100,2,19,1,1,2,0,0,1,0,0,0,0,1,0,"Wang, Yu",54572,AD7,01:00 PM,01:50 PM,F,,
2021,Spring,AAS,100,3,19,1,2,1,0,1,1,0,0,0,0,1,0,"Wang, Yu",54572,AD7,01:00 PM,01:50 PM,F,,
2021,Spring,AAS,100,3,18,2,0,1,0,3,1,0,0,1,0,0,0,"Horton, Christina M",70761,AD9,01:00 PM,01:50 PM,F,,
2021,Spring,AAS,100,4,16,2,1,1,0,2,2,0,0,0,0,0,0,"Horton, Christina M",70761,AD9,01:00 PM,01:50 PM,F,,
2021,Spring,AAS,215,7,0,8,8,1,1,2,0,0,1,2,0,1,0,"Tabares, Leland",30106,AL1,01:00 PM,01:50 PM,MW,,
2021,Spring,AAS,246,23,11,0,0,0,0,0,0,0,0,0,0,1,0,"Kwon, Soo Ah",66231,B,03:00 PM,05:20 PM,M,,
2021,Spring,AAS,258,1,16,4,1,0,0,0,0,1,0,1,1,0,0,"Rana, Junaid",51119,A,12:30 PM,01:50 PM,TR,,
2021,Spring,ABE,225,3,5,3,7,4,0,2,1,0,0,0,1,0,0,"Zhang, Yuanhui",57090,AB1,08:00 AM,09:50 AM,F,,
2021,Spring,ABE,226,3,2,5,3,2,4,0,0,1,0,1,1,1,0,"Singh, Vijay",57087,AB1,08:00 AM,09:50 AM,F,,
2021,Spring,ABE,425,11,26,0,0,1,0,0,0,0,0,0,0,0,0,"Grift, Tony E",39995,AB1,01:00 PM,02:50 PM,F,,
2021,Spring,ABE,457,1,12,7,4,2,1,1,0,1,0,0,0,0,0,"Bhattarai, Rabin",29875,G4,03:00 PM,04:50 PM,M,,
2021,Spring,ABE,469,4,15,5,3,1,0,0,0,0,0,0,0,0,0,"Witmer, Ann-Perry",70549,APW,12:30 PM,01:50 PM,TR,132,Bevier Hall
2021,Spring,ACCY,200,14,67,47,40,31,29,31,30,14,9,5,4,4,0,"Silhan, Peter A",45418,OL,ARRANGED,,,,
2021,Spring,ACCY,200,13,17,3,3,0,0,0,0,0,0,0,0,0,0,"Zhang, Li",30111,TM,05:00 PM,06:20 PM,MW,,
2021,Spring,ACCY,201,18,26,13,10,24,14,15,8,16,9,16,10,14,0,"Fisher, Mitchell B",30118,AL1,ARRANGED,,,,
2021,Spring,ACCY,201,12,15,18,11,17,16,10,23,13,22,12,8,13,0,"Fisher, Mitchell B",30118,AL1,ARRANGED,,,,
2021,Spring,ACCY,201,10,11,3,2,4,4,0,1,1,0,0,1,1,0,"Fisher, Mitchell B",30118,AL1,ARRANGED,,,,
2021,Spring,ACCY,202,16,35,18,45,74,29,17,16,14,0,5,0,0,0,"Shapland, Julia P",30119,AL1,07:00 PM,08:50 PM,W,,
